Finding,Assignee,Status,CSP,Severity,Tier,EnvType,EnvFriendlyName,EnvId,CreatedTime,FindingId,FindingIdShort,Region,ExecutionTeam,EstEffort,Tags
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-08-13,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/0cd13a98-d819-46ae-9008-2438a855d4de,0cd13a98-d81,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/9d2c8299-c329-4544-af55-0a12d7bf06b3,9d2c8299-c32,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
EC2.8 EC2 instances should use Instance Metadata Service Version 2 (IMDSv2),,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-02-28,arn:aws:securityhub:us-west-2:696796209136:subscription/aws-foundational-security-best-practices/v/1.0.0/EC2.8/finding/97ea8c2d-a77e-4c10-8ced-1c5c1805f8ef,97ea8c2d-a77,us-west-2,AWS Platform Ops,1.0,Software and Configuration Checks/Industry and Regulatory Standards/AWS-Foundational-Security-Best-Practices
The EC2 instance i-09896e20b139d905c queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/2acd498487a0d22631f7fef0644d6cbd,2acd498487a0,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-09896e20b139d905c queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/00cd4983bb73d22be171da416c82ba9a,00cd4983bb73,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
The EC2 instance i-00e6eea8e7ebcd809 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/42cd49848fc05f5455f55bf7a6abdbde,42cd49848fc0,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0e3c52cbd5ddf300e queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-07-09,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/9ccbf846612252f7f314c1f54a61e239,9ccbf8466122,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0ce8792aaa5ab4ce6 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/f4cd49848aaa0040f9f8f15b4d0df98d,f4cd49848aaa,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0dd932ed33212ceee queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/c2cd49848a8e0c75cde2aa0587c8c51d,c2cd49848a8e,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-06c1ff4be3589256f queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/9acd4984897b151b2c043158ad6e2e23,9acd4984897b,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-01a0e93ef1a987121 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/f8cd49848917ef433cfd9a34cdf461dd,f8cd49848917,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0bfb350cd194c1cda queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/6ccd498484b352bc565193a3f135840d,6ccd498484b3,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0f9c1dbd9630e0bf0 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/64cd498483bf7dcfa64eeafcc24e7e0b,64cd498483bf,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-04cdeec1cc8439cbb queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-07-09,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/74cbf84663fe6d1ff583c6d708ef5dcf,74cbf84663fe,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-02c0097e8ee136b6c queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/cccd498482eb96da557952ff5b38b0bb,cccd498482eb,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-04285bf2077727699 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/b6cd498482610572d252e6faa24b1fa7,b6cd49848261,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0791b0a96e02a96e8 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/3acd498481c7465dc3aed344b78b92e8,3acd498481c7,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0eadf7803c8835b22 queried a DGA domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-07-09,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/c6cbf84660c34bccd72bd701d5df71cf,c6cbf84660c3,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Trojan:EC2-DGADomainRequest.B
The EC2 instance i-0ce8792aaa5ab4ce6 queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/44cd4983c90447ef478e6960427bc2bf,44cd4983c904,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
The EC2 instance i-0791b0a96e02a96e8 queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/eccd4983be17d68c1b2e0ca54bf4fbad,eccd4983be17,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
The EC2 instance i-0bfb350cd194c1cda queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/f8cd4983b2c131456d279e1fda50f93f,f8cd4983b2c1,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
The EC2 instance i-0dd932ed33212ceee queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/c8cd4983b1709309770d5581f6476deb,c8cd4983b170,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
The EC2 instance i-01a0e93ef1a987121 queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-11-17,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/06cd4983af6c4191c641a73e3f77a63d,06cd4983af6c,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
The EC2 instance i-04cdeec1cc8439cbb queried a known Command & Control server domain name.,,not started,AWS,High,Tier 1,Prod,account-hma-gita-prd,696796209136,2025-05-09,arn:aws:guardduty:us-west-2:696796209136:detector/6ac8ee93115a66137aed231e167bffb6/finding/84cb59623e2deea93464cd08244dd045,84cb59623e2d,us-west-2,AWS Platform Ops,1.0,TTPs/Command and Control/Backdoor:EC2-C&CActivity.B!DNS
